sw,kro,krw
0.15,1.00,0.00
0.16,0.91,0.00
0.17,0.87,0.00
0.18,0.82,0.00
0.19,0.78,0.00
0.2,0.74,0.01
0.21,0.70,0.01
0.22,0.67,0.01
0.23,0.63,0.01
0.24,0.60,0.01
0.25,0.56,0.01
0.26,0.53,0.01
0.27,0.50,0.01
0.28,0.47,0.01
0.29,0.45,0.01
0.3,0.42,0.01
0.31,0.40,0.01
0.32,0.37,0.01
0.33,0.35,0.01
0.34,0.33,0.02
0.35,0.31,0.02
0.36,0.29,0.02
0.37,0.27,0.02
0.38,0.26,0.02
0.39,0.24,0.02
0.4,0.22,0.02
0.41,0.21,0.02
0.42,0.20,0.02
0.43,0.18,0.03
0.44,0.17,0.03
0.45,0.16,0.03
0.46,0.15,0.03
0.47,0.14,0.04
0.48,0.13,0.04
0.49,0.12,0.04
0.5,0.11,0.05
0.51,0.11,0.05
0.52,0.10,0.05
0.53,0.09,0.06
0.54,0.08,0.06
0.55,0.08,0.07
0.56,0.07,0.07
0.57,0.06,0.08
0.58,0.06,0.09
0.59,0.05,0.09
0.6,0.05,0.10
0.61,0.04,0.11
0.62,0.03,0.12
0.63,0.03,0.13
0.64,0.02,0.14
0.65,0.02,0.15
0.66,0.01,0.16
0.67,0.00,0.17
0.68,0.00,0.18
